English,Thai
the,ที่
be,เป็น
and,และ
a,อัน
of,ของ
to,ถึง
in,ใน
i,ฉัน
you,คุณ
it,มัน
have,มี
to,ถึง
that,ที่
for,สำหรับ
do,ทำ
he,เขา
with,กับ
on,บน
this,นี้
n't,ไม่มี
we,เรา
that,ที่
not,ไม่
but,แต่
they,พวกเขา
say,พูด
at,ที่
what,อะไร
his,ของเขา
from,จาก
go,ไป
or,หรือ
by,โดย
get,รับ
she,เธอ
my,ของฉัน
can,สามารถ
as,เช่น
know,ทราบ
if,ถ้า
me,ฉัน
your,ของคุณ
all,ทั้งหมด
who,WHO
about,เกี่ยวกับ
their,ของพวกเขา
will,จะ
so,ดังนั้น
would,จะ
make,ทำ
just,แค่
up,ขึ้น
think,คิด
time,เวลา
there,ที่นั่น
see,ดู
her,ของเธอ
as,เช่น
out,ออก
one,หนึ่ง
come,มา
people,ประชากร
take,เอา
year,ปี
him,เขา
them,พวกเขา
some,บาง
want,ต้องการ
how,ยังไง
when,เมื่อไร
which,ที่
now,ตอนนี้
like,ชอบ
other,อื่น
could,สามารถ
our,ของเรา
into,เข้าไปข้างใน
here,ที่นี่
then,แล้ว
than,กว่า
look,ดู
way,ทาง
more,มากกว่า
these,เหล่านี้
no,เลขที่
thing,สิ่ง
well,ดี
because,เพราะ
also,อีกด้วย
two,สอง
use,ใช้
tell,บอก
good,ดี
first,อันดับแรก
man,ผู้ชาย
day,วัน
find,หา
give,ให้
more,มากกว่า
new,ใหม่
one,หนึ่ง
us,เรา
any,ใดๆ
those,เหล่านั้น
very,มาก
her,ของเธอ
need,ความต้องการ
back,กลับ
there,ที่นั่น
should,ควร
even,สม่ำเสมอ
only,เท่านั้น
many,มากมาย
really,จริงหรือ
work,งาน
life,ชีวิต
why,ทำไม
right,ขวา
down,ลง
on,บน
try,พยายาม
let,อนุญาต
something,บางสิ่งบางอย่าง
too,ด้วย
call,เรียก
woman,ผู้หญิง
may,อาจ
still,นิ่ง
through,ผ่าน
mean,หมายถึง
after,หลังจาก
never,ไม่เคย
no,เลขที่
world,โลก
in,ใน
feel,รู้สึก
yeah,ใช่
great,ยอดเยี่ยม
last,ล่าสุด
child,เด็ก
oh,โอ้
over,เกิน
ask,ถาม
when,เมื่อไร
as,เช่น
school,โรงเรียน
state,สถานะ
much,มาก
talk,พูดคุย
out,ออก
keep,เก็บ
leave,ออกจาก
put,ใส่
like,ชอบ
help,ช่วย
big,ใหญ่
where,ที่ไหน
same,เดียวกัน
all,ทั้งหมด
own,เป็นเจ้าของ
while,ในขณะที่
start,เริ่ม
three,สาม
high,สูง
every,ทั้งหมด
another,อื่น
become,กลายเป็น
most,ที่สุด
between,ระหว่าง
happen,เกิดขึ้น
family,ตระกูล
over,เกิน
president,ประธาน
old,เก่า
yes,ใช่
house,บ้าน
show,แสดง
again,อีกครั้ง
student,นักเรียน
so,ดังนั้น
seem,ดูเหมือน
might,อาจ
part,ส่วนหนึ่ง
hear,ได้ยิน
its,ของมัน
place,สถานที่
problem,ปัญหา
where,ที่ไหน
believe,เชื่อ
country,ประเทศ
always,เสมอ
week,สัปดาห์
point,จุด
hand,มือ
off,ปิด
play,เล่น
turn,เปลี่ยน
few,น้อย
group,กลุ่ม
such,เช่น
against,ขัดต่อ
run,วิ่ง
guy,ผู้ชาย
about,เกี่ยวกับ
case,กรณี
question,คำถาม
work,งาน
night,กลางคืน
live,สด
game,เกม
number,ตัวเลข
write,เขียน
bring,นำมา
without,ปราศจาก
money,เงิน
lot,มาก
most,ที่สุด
book,หนังสือ
system,ระบบ
government,รัฐบาล
next,ต่อไป
city,เมือง
company,บริษัท
story,เรื่องราว
today,วันนี้
job,งาน
move,เคลื่อนไหว
must,ต้อง
bad,แย่
friend,เพื่อน
during,ในระหว่าง
begin,เริ่ม
love,รัก
each,แต่ละ
hold,ถือ
different,แตกต่าง
american,เกี่ยวกับอเมริกา
little,เล็กน้อย
before,ก่อน
ever,เคย
word,คำ
fact,ข้อเท็จจริง
right,ขวา
read,อ่าน
anything,อะไรก็ตาม
nothing,ไม่มีอะไร
sure,แน่นอน
small,เล็ก
month,เดือน
program,โปรแกรม
maybe,อาจจะ
right,ขวา
under,ภายใต้
business,ธุรกิจ
home,บ้าน
kind,ใจดี
stop,หยุด
pay,จ่าย
study,ศึกษา
since,เนื่องจาก
issue,ปัญหา
name,ชื่อ
idea,ความคิด
room,ห้อง
percent,เปอร์เซ็นต์
far,ไกล
away,ห่างออกไป
law,กฎ
actually,จริงๆ แล้ว
large,ใหญ่
though,แม้ว่า
provide,จัดเตรียม
lose,สูญเสีย
power,พลัง
kid,เด็ก
war,สงคราม
understand,เข้าใจ
head,ศีรษะ
mother,แม่
real,จริง
best,ดีที่สุด
team,ทีม
eye,ดวงตา
long,ยาว
long,ยาว
side,ด้านข้าง
water,น้ำ
young,หนุ่มสาว
wait,รอ
okay,ตกลง
both,ทั้งคู่
yet,ยัง
after,หลังจาก
meet,พบปะ
service,บริการ
area,พื้นที่
important,สำคัญ
person,บุคคล
hey,เฮ้
thank,ขอบคุณ
much,มาก
someone,บางคน
end,จบ
change,เปลี่ยน
however,อย่างไรก็ตาม
only,เท่านั้น
around,รอบๆ
hour,ชั่วโมง
everything,ทุกอย่าง
national,ระดับชาติ
four,สี่
line,เส้น
girl,สาว
around,รอบๆ
watch,ดู
until,จนกระทั่ง
father,พ่อ
sit,นั่ง
create,สร้าง
information,ข้อมูล
car,รถ
learn,เรียนรู้
least,น้อยที่สุด
already,เรียบร้อยแล้ว
kill,ฆ่า
minute,นาที
party,งานสังสรรค์
include,รวม
stand,ยืน
together,ด้วยกัน
back,กลับ
follow,ติดตาม
health,สุขภาพ
remember,จดจำ
often,บ่อยครั้ง
reason,เหตุผล
speak,พูด
ago,ที่ผ่านมา
set,ชุด
black,สีดำ
member,สมาชิก
community,ชุมชน
once,ครั้งหนึ่ง
social,ทางสังคม
news,ข่าว
allow,อนุญาต
win,ชนะ
body,ร่างกาย
lead,ตะกั่ว
continue,ดำเนินการต่อ
whether,ไม่ว่า
enough,เพียงพอ
spend,ใช้จ่าย
level,ระดับ
able,สามารถ
political,ทางการเมือง
almost,เกือบ
boy,เด็กผู้ชาย
university,มหาวิทยาลัย
before,ก่อน
stay,อยู่
add,เพิ่ม
later,ภายหลัง
change,เปลี่ยน
five,ห้า
probably,อาจจะ
center,ศูนย์
among,ท่ามกลาง
face,ใบหน้า
public,สาธารณะ
die,ตาย
food,อาหาร
else,อื่น
history,ประวัติศาสตร์
buy,ซื้อ
result,ผลลัพธ์
morning,เช้า
off,ปิด
parent,พ่อแม่
office,สำนักงาน
course,คอร์ส
send,ส่ง
research,วิจัย
walk,เดิน
door,ประตู
white,สีขาว
several,หลาย
court,ศาล
home,บ้าน
grow,เติบโต
better,ดีกว่า
open,เปิด
moment,ช่วงเวลา
including,รวมทั้ง
consider,พิจารณา
both,ทั้งคู่
such,เช่น
little,เล็กน้อย
within,ภายใน
second,ที่สอง
late,ช้า
street,ถนน
free,ฟรี
better,ดีกว่า
everyone,ทุกคน
policy,นโยบาย
table,โต๊ะ
sorry,ขอโทษ
care,การดูแล
low,ต่ำ
human,มนุษย์
please,โปรด
hope,หวัง
TRUE,จริง
process,กระบวนการ
teacher,ครู
data,ข้อมูล
offer,เสนอ
death,ความตาย
whole,ทั้งหมด
experience,ประสบการณ์
plan,วางแผน
easy,ง่าย
education,การศึกษา
build,สร้าง
expect,คาดหวัง
fall,ตก
himself,ตัวเขาเอง
age,อายุ
hard,แข็ง
sense,ความรู้สึก
across,ข้าม
show,แสดง
early,แต่แรก
college,วิทยาลัย
music,ดนตรี
appear,ปรากฏ
mind,จิตใจ
class,ระดับ
police,ตำรวจ
use,ใช้
effect,ผล
season,ฤดูกาล
tax,ภาษี
heart,หัวใจ
son,ลูกชาย
art,ศิลปะ
possible,เป็นไปได้
serve,ให้บริการ
break,หยุดพัก
although,แม้ว่า
end,จบ
market,ตลาด
even,สม่ำเสมอ
air,อากาศ
force,บังคับ
require,จำเป็นต้อง
foot,เท้า
up,ขึ้น
listen,ฟัง
agree,เห็นด้วย
according,ตาม
anyone,ใครก็ได้
baby,ที่รัก
wrong,ผิด
love,รัก
cut,ตัด
decide,ตัดสินใจ
republican,พรรครีพับลิกัน
full,เต็ม
behind,ด้านหลัง
pass,ผ่าน
interest,ความสนใจ
sometimes,บางครั้ง
security,ความปลอดภัย
eat,กิน
report,รายงาน
control,ควบคุม
rate,ประเมิน
local,ท้องถิ่น
suggest,แนะนำ
report,รายงาน
nation,ประเทศ
sell,ขาย
action,การกระทำ
support,สนับสนุน
wife,ภรรยา
decision,การตัดสินใจ
receive,รับ
value,ค่า
base,ฐาน
pick,เลือก
phone,โทรศัพท์
thanks,ขอบคุณ
event,เหตุการณ์
drive,ขับ
strong,แข็งแกร่ง
reach,เข้าถึง
remain,ยังคง
explain,อธิบาย
site,เว็บไซต์
hit,ตี
pull,ดึง
church,คริสตจักร
model,แบบอย่าง
perhaps,บางที
relationship,ความสัมพันธ์
six,หก
fine,ดี
movie,ภาพยนตร์
field,สนาม
raise,ยก
less,น้อย
player,ผู้เล่น
couple,คู่
million,ล้าน
themselves,ตัวพวกเขาเอง
record,บันทึก
especially,โดยเฉพาะ
difference,ความแตกต่าง
light,แสงสว่าง
development,การพัฒนา
federal,ของรัฐบาลกลาง
former,อดีต
role,บทบาท
pretty,สวย
myself,ตัวฉันเอง
view,ดู
price,ราคา
effort,ความพยายาม
nice,ดี
quite,ค่อนข้าง
along,ตาม
voice,เสียง
finally,ในที่สุด
department,แผนก
either,ทั้ง
toward,ไปทาง
leader,ผู้นำ
because,เพราะ
photo,รูปถ่าย
wear,สวมใส่
space,ช่องว่าง
project,โครงการ
return,กลับ
position,ตำแหน่ง
special,พิเศษ
million,ล้าน
film,ฟิล์ม
need,ความต้องการ
major,วิชาเอก
type,พิมพ์
town,เมือง
article,บทความ
road,ถนน
form,รูปร่าง
chance,โอกาส
drug,ยา
economic,ทางเศรษฐกิจ
situation,สถานการณ์
choose,เลือก
practice,ฝึกฝน
cause,สาเหตุ
happy,มีความสุข
science,ศาสตร์
join,เข้าร่วม
teach,สอน
early,แต่แรก
develop,พัฒนา
share,แบ่งปัน
yourself,ตัวคุณเอง
carry,พก
clear,ชัดเจน
brother,พี่ชาย
matter,วัตถุ
dead,ตาย
image,ภาพ
star,ดาว
cost,ค่าใช้จ่าย
simply,อย่างง่าย
post,โพสต์
society,สังคม
picture,รูปภาพ
piece,ชิ้นส่วน
paper,กระดาษ
energy,พลังงาน
personal,ส่วนตัว
building,อาคาร
military,ทหาร
open,เปิด
doctor,หมอ
activity,กิจกรรม
exactly,อย่างแน่นอน
american,เกี่ยวกับอเมริกา
media,สื่อ
miss,นางสาว
evidence,หลักฐาน
product,ผลิตภัณฑ์
realize,ตระหนัก
save,บันทึก
arm,แขน
technology,เทคโนโลยี
catch,จับ
comment,การแสดงความคิดเห็น
look,ดู
term,ภาคเรียน
color,สี
cover,ปิดบัง
describe,อธิบาย
guess,เดา
choice,ทางเลือก
source,แหล่งที่มา
mom,แม่
soon,เร็วๆ นี้
director,ผู้อำนวยการ
international,ระหว่างประเทศ
rule,กฎ
campaign,แคมเปญ
ground,พื้น
election,การเลือกตั้ง
face,ใบหน้า
uh,เอ่อ
check,ตรวจสอบ
page,หน้าหนังสือ
fight,ต่อสู้
itself,ตัวเอง
test,ทดสอบ
patient,อดทน
produce,ผลิต
certain,แน่ใจ
whatever,อะไรก็ตาม
half,ครึ่ง
video,วิดีโอ
support,สนับสนุน
throw,โยน
third,ที่สาม
care,การดูแล
rest,พักผ่อน
recent,ล่าสุด
available,มีอยู่
step,ขั้นตอน
ready,พร้อม
opportunity,โอกาส
official,เป็นทางการ
oil,น้ำมัน
call,เรียก
organization,องค์กร
character,อักขระ
single,เดี่ยว
current,ปัจจุบัน
likely,มีแนวโน้ม
county,เขต
future,อนาคต
dad,พ่อ
whose,ของใคร
less,น้อย
shoot,ยิง
industry,อุตสาหกรรม
second,ที่สอง
list,รายการ
general,ทั่วไป
stuff,สิ่งของ
figure,รูป
attention,ความสนใจ
forget,ลืม
risk,เสี่ยง
no,เลขที่
focus,จุดสนใจ
short,สั้น
fire,ไฟ
dog,สุนัข
red,สีแดง
hair,ผม
point,จุด
condition,เงื่อนไข
wall,กำแพง
daughter,ลูกสาว
before,ก่อน
deal,ข้อเสนอ
author,ผู้เขียน
truth,ความจริง
upon,เมื่อ
husband,สามี
period,ระยะเวลา
series,ชุด
order,คำสั่ง
officer,เจ้าหน้าที่
close,ปิด
land,ที่ดิน
note,บันทึก
computer,คอมพิวเตอร์
thought,คิด
economy,เศรษฐกิจ
goal,เป้าหมาย
bank,ธนาคาร
behavior,พฤติกรรม
sound,เสียง
deal,ข้อเสนอ
certainly,แน่นอน
nearly,เกือบ
increase,เพิ่มขึ้น
act,กระทำ
north,ทิศเหนือ
well,ดี
blood,เลือด
culture,วัฒนธรรม
medical,ทางการแพทย์
ok,ตกลง
everybody,ทุกคน
top,สูงสุด
difficult,ยาก
close,ปิด
language,ภาษา
window,หน้าต่าง
response,การตอบสนอง
population,ประชากร
lie,โกหก
tree,ต้นไม้
park,สวน
worker,คนงาน
draw,วาด
plan,วางแผน
drop,หยด
push,ดัน
earth,โลก
cause,สาเหตุ
per,ต่อ
private,ส่วนตัว
tonight,คืนนี้
race,แข่ง
than,กว่า
letter,จดหมาย
other,อื่น
gun,ปืน
simple,เรียบง่าย
course,คอร์ส
wonder,สิ่งมหัศจรรย์
involve,มีส่วนร่วม
hell,นรก
poor,ยากจน
each,แต่ละ
answer,คำตอบ
nature,ธรรมชาติ
administration,การบริหาร
common,ทั่วไป
no,เลขที่
hard,แข็ง
message,ข้อความ
song,เพลง
enjoy,สนุก
similar,คล้ายกัน
congress,รัฐสภา
attack,จู่โจม
past,อดีต
hot,ร้อน
seek,แสวงหา
amount,จำนวน
analysis,การวิเคราะห์
store,เก็บ
defense,ป้องกัน
bill,ใบแจ้งหนี้
like,ชอบ
cell,ห้องขัง
away,ห่างออกไป
performance,ผลงาน
hospital,โรงพยาบาล
bed,เตียง
board,กระดาน
protect,ปกป้อง
century,ศตวรรษ
summer,ฤดูร้อน
material,วัสดุ
individual,รายบุคคล
recently,ล่าสุด
example,ตัวอย่าง
represent,แทน
fill,เติม
state,สถานะ
place,สถานที่
animal,สัตว์
fail,ล้มเหลว
factor,ปัจจัย
natural,เป็นธรรมชาติ
sir,ท่าน
agency,หน่วยงาน
usually,โดยปกติ
significant,สำคัญ
help,ช่วย
ability,ความสามารถ
mile,ไมล์
statement,คำแถลง
entire,ทั้งหมด
democrat,ประชาธิปัตย์
floor,พื้น
serious,จริงจัง
career,อาชีพ
dollar,ดอลลาร์
vote,ลงคะแนนเสียง
sex,เพศ
compare,เปรียบเทียบ
south,ใต้
forward,ซึ่งไปข้างหน้า
subject,เรื่อง
financial,การเงิน
identify,แยกแยะ
beautiful,สวย
decade,ทศวรรษ
bit,นิดหน่อย
reduce,ลด
sister,น้องสาว
quality,คุณภาพ
quickly,อย่างรวดเร็ว
act,กระทำ
press,กด
worry,กังวล
accept,ยอมรับ
enter,เข้า
mention,กล่าวถึง
sound,เสียง
thus,ดังนั้น
plant,ปลูก
movement,ความเคลื่อนไหว
scene,ฉาก
section,ส่วน
treatment,การรักษา
wish,ปรารถนา
benefit,ผลประโยชน์
interesting,น่าสนใจ
west,ตะวันตก
candidate,ผู้สมัคร
approach,เข้าใกล้
determine,กำหนด
resource,ทรัพยากร
claim,เรียกร้อง
answer,คำตอบ
prove,พิสูจน์
sort,เรียงลำดับ
enough,เพียงพอ
size,ขนาด
somebody,ใครบางคน
knowledge,ความรู้
rather,ค่อนข้าง
hang,แขวน
sport,กีฬา
tv,โทรทัศน์
loss,การสูญเสีย
argue,โต้แย้ง
left,ซ้าย
note,บันทึก
meeting,การประชุม
skill,ทักษะ
card,การ์ด
feeling,ความรู้สึก
despite,ถึงอย่างไรก็ตาม
degree,ระดับ
crime,อาชญากรรม
that,ที่
sign,เข้าสู่ระบบ
occur,เกิดขึ้น
imagine,จินตนาการ
vote,ลงคะแนนเสียง
near,ใกล้
king,กษัตริย์
box,กล่อง
present,ปัจจุบัน
figure,รูป
seven,เจ็ด
foreign,ต่างชาติ
laugh,หัวเราะ
disease,โรค
lady,ผู้หญิง
beyond,เกิน
discuss,หารือ
finish,เสร็จ
design,ออกแบบ
concern,กังวล
ball,ลูกบอล
east,ทิศตะวันออก
recognize,จำได้
apply,นำมาใช้
prepare,เตรียมตัว
network,เครือข่าย
huge,ใหญ่
success,ความสำเร็จ
district,เขต
cup,ถ้วย
name,ชื่อ
physical,ทางกายภาพ
growth,การเจริญเติบโต
rise,ลุกขึ้น
hi,สวัสดี
standard,มาตรฐาน
force,บังคับ
sign,เข้าสู่ระบบ
fan,พัดลม
theory,ทฤษฎี
staff,พนักงาน
hurt,เจ็บ
legal,ถูกกฎหมาย
september,กันยายน
set,ชุด
outside,ข้างนอก
et,ET
strategy,กลยุทธ์
clearly,อย่างชัดเจน
property,คุณสมบัติ
lay,วาง
final,สุดท้าย
authority,อำนาจ
perfect,สมบูรณ์แบบ
method,วิธี
region,ภูมิภาค
since,เนื่องจาก
impact,ผลกระทบ
indicate,ระบุ
safe,ปลอดภัย
committee,คณะกรรมการ
supposed,ที่ควร
dream,ฝัน
training,การฝึกอบรม
shit,อึ
central,ศูนย์กลาง
option,ตัวเลือก
eight,แปด
particularly,โดยเฉพาะ
completely,อย่างสมบูรณ์
opinion,ความคิดเห็น
main,หลัก
ten,สิบ
interview,สัมภาษณ์
exist,มีอยู่
remove,ลบ
dark,มืด
play,เล่น
union,สหภาพ
professor,ศาสตราจารย์
pressure,ความดัน
purpose,วัตถุประสงค์
stage,เวที
blue,สีฟ้า
herself,ตัวเอง
sun,ดวงอาทิตย์
pain,ความเจ็บปวด
artist,ศิลปิน
employee,พนักงาน
avoid,หลีกเลี่ยง
account,บัญชี
release,ปล่อย
fund,กองทุน
environment,สิ่งแวดล้อม
treat,รักษา
specific,เฉพาะเจาะจง
version,รุ่น
shot,การยิง
hate,เกลียด
reality,ความจริง
visit,เยี่ยม
club,คลับ
justice,ความยุติธรรม
river,แม่น้ำ
brain,สมอง
memory,หน่วยความจำ
rock,หิน
talk,พูดคุย
camera,กล้อง
global,ทั่วโลก
various,หลากหลาย
arrive,มาถึง
notice,สังเกต
bit,นิดหน่อย
detail,รายละเอียด
challenge,ท้าทาย
argument,การโต้แย้ง
lot,มาก
nobody,ไม่มีใคร
weapon,อาวุธ
best,ดีที่สุด
station,สถานี
island,เกาะ
absolutely,อย่างแน่นอน
instead,แทน
discussion,การอภิปราย
instead,แทน
affect,ส่งผลกระทบ
design,ออกแบบ
little,เล็กน้อย
anyway,ถึงอย่างไร
respond,ตอบกลับ
control,ควบคุม
trouble,ปัญหา
conversation,การสนทนา
manage,จัดการ
close,ปิด
date,วันที่
public,สาธารณะ
army,กองทัพ
top,สูงสุด
post,โพสต์
charge,ค่าใช้จ่าย
seat,ที่นั่ง
assume,สมมติ
writer,นักเขียน
perform,ดำเนินการ
credit,เครดิต
green,สีเขียว
marriage,การแต่งงาน
operation,การดำเนินการ
indeed,อย่างแท้จริง
sleep,นอน
necessary,จำเป็น
reveal,เปิดเผย
agent,ตัวแทน
access,เข้าถึง
bar,บาร์
debate,อภิปราย
leg,ขา
contain,บรรจุ
beat,ตี
cool,เย็น
democratic,เกี่ยวกับประชาธิปไตย
cold,เย็น
glass,กระจก
improve,ทำให้ดีขึ้น
adult,ผู้ใหญ่
trade,ซื้อขาย
religious,เคร่งศาสนา
head,ศีรษะ
review,ทบทวน
kind,ใจดี
address,ที่อยู่
association,สมาคม
measure,วัด
stock,คลังสินค้า
gas,แก๊ส
deep,ลึก
lawyer,ทนายความ
production,การผลิต
relate,เกี่ยวข้อง
middle,กลาง
management,การจัดการ
original,ต้นฉบับ
victim,เหยื่อ
cancer,มะเร็ง
speech,คำพูด
particular,โดยเฉพาะ
trial,การทดลอง
none,ไม่มี
item,รายการ
weight,น้ำหนัก
tomorrow,พรุ่งนี้
step,ขั้นตอน
positive,เชิงบวก
form,รูปร่าง
citizen,พลเมือง
study,ศึกษา
trip,การเดินทาง
establish,สร้าง
executive,ผู้บริหาร
politics,การเมือง
stick,ติด
customer,ลูกค้า
manager,ผู้จัดการ
rather,ค่อนข้าง
publish,เผยแพร่
popular,เป็นที่นิยม
sing,ร้องเพลง
ahead,ข้างหน้า
conference,การประชุม
total,ทั้งหมด
discover,ค้นพบ
fast,เร็ว
base,ฐาน
direction,ทิศทาง
sunday,วันอาทิตย์
maintain,บำรุงรักษา
past,อดีต
majority,ส่วนใหญ่
peace,ความสงบ
dinner,อาหารเย็น
partner,พันธมิตร
user,ผู้ใช้
above,ข้างบน
fly,บิน
bag,ถุง
therefore,ดังนั้น
rich,รวย
individual,รายบุคคล
tough,ยาก
owner,เจ้าของ
shall,จะ
inside,ข้างใน
voter,ผู้ลงคะแนนเสียง
tool,เครื่องมือ
june,มิถุนายน
far,ไกล
may,อาจ
mountain,ภูเขา
range,พิสัย
coach,โค้ช
fear,กลัว
friday,วันศุกร์
attorney,อัยการ
unless,เว้นเสียแต่ว่า
nor,ก็ไม่เช่นกัน
expert,ผู้เชี่ยวชาญ
structure,โครงสร้าง
budget,งบประมาณ
insurance,ประกันภัย
text,ข้อความ
freedom,เสรีภาพ
crazy,คลั่งไคล้
reader,ผู้อ่าน
style,สไตล์
through,ผ่าน
march,มีนาคม
machine,เครื่องจักร
november,พฤศจิกายน
generation,รุ่น
income,รายได้
born,เกิด
admit,ยอมรับ
hello,สวัสดี
onto,ไปยัง
sea,ทะเล
okay,ตกลง
mouth,ปาก
throughout,ตลอดทั้ง
own,เป็นเจ้าของ
test,ทดสอบ
web,เว็บ
shake,สั่นคลอน
threat,ภัยคุกคาม
solution,สารละลาย
shut,ปิด
down,ลง
travel,การท่องเที่ยว
scientist,นักวิทยาศาสตร์
hide,ซ่อน
obviously,อย่างชัดเจน
refer,อ้างอิง
alone,ตามลำพัง
drink,ดื่ม
investigation,การสืบสวน
senator,วุฒิสมาชิก
unit,หน่วย
photograph,ถ่ายภาพ
july,กรกฎาคม
television,โทรทัศน์
key,สำคัญ
sexual,ทางเพศ
radio,วิทยุ
prevent,ป้องกัน
once,ครั้งหนึ่ง
modern,ทันสมัย
senate,วุฒิสภา
violence,ความรุนแรง
touch,สัมผัส
feature,คุณสมบัติ
audience,ผู้ชม
evening,ตอนเย็น
whom,ใคร
front,ด้านหน้า
hall,ห้องโถง
task,งาน
score,คะแนน
skin,ผิว
suffer,ทุกข์ทรมาน
wide,กว้าง
spring,ฤดูใบไม้ผลิ
experience,ประสบการณ์
civil,พลเรือน
safety,ความปลอดภัย
weekend,สุดสัปดาห์
while,ในขณะที่
worth,คุณค่า
title,ชื่อ
